EBS;place_name;country;disease_name;species_name;alert_id;source;href;issue_date;alert_tag;Manualclass;Confirmed ;Empres-i ref;reviewed;sc;sd;cc;cd;ro;long_name;lon;lat;Pointssamplingtool;Safesignal
HealthMap;"Wuxi; Jiangsu Province; China";China;African Swine Fever;Pigs;6005565;twitter;https://twitter.com/Reuters_Health/statuses/1036794185146359808;03-sept-18;Breaking;Irrelevant;no;;8/23/19 12:22;;;12;9;;Twitter;120.303024;31.566149;120;52,94
HealthMap;"Heilongjiang Province; China";China;African Swine Fever;Pigs;6008773;xinhuanet;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEVY1USw1Eeh0w3VR9F2Hcajcn6Gg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780033008117&ei=atOPW9ibCYi-3AGRoZiYAw&url=http://www.xinhuanet.com/english/2018-09/05/c_137447052.htm;04-sept-18;Breaking;Irrelevant;no;;8/23/19 10:37;;;39;12;;Google News;128.144501;47.400002;40;84,31
HealthMap;"Anhui Province; China";China;African Swine Fever;Pigs;6010900;yahoo; 10th outbreak in a month - Yahoo News;06-sept-18;Breaking;Irrelevant;no;;Breaking;8/23/19 10:38;;;62;22;Google News;116.982399;31.86;169;33,73
HealthMap;"Tongling; Anhui Province; China";China;African Swine Fever;Pigs;6021039;twitter;https://twitter.com/Reuters_Health/statuses/1039339020025847809;09-sept-18;Breaking;Irrelevant;no;;8/23/19 9:40;;;63;23;;Twitter;117.783333;30.950001;167;34,51
HealthMap;China;China;African Swine Fever;Pigs;6027123;cfr;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH2XgdiHZ5qTFHzYHm6Atxwh-ysqg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780044474973&ei=nHuaW-ChFNay3AHdqLKIDw&url=https://www.cfr.org/blog/outbreak-african-swine-flu-china-one-many;13-sept-18;Breaking;Irrelevant;no;;9/16/18 9:20;;;;;;Google News;103.891769;36.519981;52;79,61
HealthMap;"Inner Mongolia Autonomous Region; China";China;African Swine Fever;Pigs;6029867;twitter;https://twitter.com/Reuters_Health/statuses/1040619729176735747;14-sept-18;Breaking;Irrelevant;no;;8/22/19 15:27;;;16;16;;Twitter;113.699997;42.163399;40;84,31
HealthMap;China;China;African Swine Fever;Pigs;6030303;bloomberg;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGli8awMNDUIk6GJoOKCJtMROtwbg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=bwWcW_qnOaG13AGzlLbAAQ&url=https://www.bloomberg.com/news/videos/2018-09-14/an-outbreak-of-african-swine-fever-hits-china-video;14-sept-18;Breaking;Irrelevant;no;;8/22/19 15:23;;;;;;Google News;103.891769;36.519981;52;79,61
HealthMap;"Inner Mongolia Autonomous Region; China";China;African Swine Fever;Pigs;6033908;manoramaonline;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNG0PKozjd9NHirZK2m3rv52JnGBIg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780046785056&ei=fZefW7rAHM7fzQb4mLLQDw&url=https://english.manoramaonline.com/news/world/2018/09/17/china-reports-new-african-swine-fever-outbreak-in-inner-mongolia.html;17-sept-18;Breaking;Irrelevant;no;;8/22/19 14:52;;;14;8;;Google News;113.699997;42.163399;40;84,31
HealthMap;"Inner Mongolia Autonomous Region; China";China;African Swine Fever;Pigs;6033923;twitter;https://twitter.com/Reuters_Health/statuses/1041649090189295617;17-sept-18;Breaking;Irrelevant;no;;8/22/19 14:51;;;14;8;;Twitter;113.699997;42.163399;40;84,31
HealthMap;"Inner Mongolia Autonomous Region; China";China;African Swine Fever;Pigs;6036109;twitter;https://twitter.com/AVMAvets/statuses/1042040561589538822;18-sept-18;Breaking;Irrelevant;no;;8/22/19 14:15;;;14;8;;Twitter;113.699997;42.163399;40;84,31
HealthMap;"Hohhot; Inner Mongolia; China";China;African Swine Fever;Pigs;6047854;newstage;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEwThw1fwWdBc1cVeh4j9YcdWmJAQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=tbWoW9imL5nupwePl7eICg&url=https://newstage.com.ng/2018/09/24/update-1-china-says-new-african-swine-fever-outbreak-reported-in-inner-mongolia/;24-sept-18;Breaking;Irrelevant;no;;8/22/19 13:02;;;4;2;;Google News;111.652222;40.810558;105;58,82
HealthMap;"Hohhot; Inner Mongolia; China";China;African Swine Fever;Pigs;6048184;express;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFb2NfwFtTzbR10lGNXcktVuB8kYQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780052127023&ei=5t-oW6j4GcTN3QHlja-oCg&url=https://www.express.co.uk/news/world/1022009/african-swine-fever-outbreak-china-mongolia;24-sept-18;Breaking;Irrelevant;no;;8/22/19 13:00;;;4;2;;Google News;111.652222;40.810558;105;58,82
HealthMap;"Inner Mongolia Autonomous Region; China";China;African Swine Fever;Pigs;6049383;flutracker;https://twitter.com/FluTrackers/statuses/1044343761290047488;24-sept-18;Breaking;Irrelevant;no;;8/22/19 12:50;;;;;;Twitter;113.699997;42.163399;40;84,31
HealthMap;"Songyuan; Jilin Province; China";China;African Swine Fever;Pigs;6057544;reuters;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF9HPLKHl-8paZf5IXUdX-VDxIQzg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=b7WtW9CGA9Sp3wH7xY7wCQ&url=https://af.reuters.com/article/commoditiesNews/idAFB9N1W004R;28-sept-18;Breaking;Irrelevant;no;;8/22/19 12:03;;;8;3;;Google News;124.825684;45.128571;160;37,25
